"Add New Option","Add New Option"
"Import Options","Import Options"
"Use Default","Use Default"
"Delete Row","Delete Row"
"Add New Row","Add New Row"
Fixed,Fixed
Percent,Percent
"Customizable Options","Customizable Options"
"We can't save custom-defined options for bundles with dynamic pricing.","We can't save custom-defined options for bundles with dynamic pricing."
"Custom Options","Custom Options"
"Delete Custom Option","Delete Custom Option"
"Sort Custom Options","Sort Custom Options"
"Option Title","Option Title"
"Input Type","Input Type"
Required,Required
Price,Price
"Price Type","Price Type"
SKU,SKU
"Compatible File Extensions","Compatible File Extensions"
"Maximum Image Size","Maximum Image Size"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
"Please leave blank if it is not an image.","Please leave blank if it is not an image."
Title,Title
"Sort Custom Option","Sort Custom Option"
"Max Characters","Max Characters"
"Select type of option.","Select type of option."
"Please add rows to option.","Please add rows to option."
"New Option","New Option"
"Select Product","Select Product"
Import,Import
"Please select items.","Please select items."
"Custom Option","Custom Option"
"Custom Option Settings","Custom Option Settings"
"Show Custom Options to Seller","Show Custom Options to Seller"
"Webkul Custom Options Allow","Webkul Custom Options Allow"